status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,exit_price,balance_after_trade
completed,ARCUSDT,short,2025-10-23 09:30:00,0.01232,2.0,5.0,0.012073599999999999,0.012936,16.0,True,loss,-2.5000000000000013,-5.000000000000003,2025-10-23 13:31:00,238.0,False,70,0.012936,907.6576296584141
completed,COAIUSDT,long,2025-10-23 09:30:00,14.068,2.0,5.0,14.349359999999999,13.3646,16.0,False,no_entry,0.0,0.0,,0.0,False,71,,
completed,ARIAUSDT,long,2025-10-23 13:30:00,0.17329,2.0,5.0,0.1767558,0.16462549999999998,16.0,True,win,0.9999999999999974,1.999999999999995,2025-10-23 14:10:00,41.0,False,72,0.1767558,908.6576296584141
completed,TRUTHUSDT,long,2025-10-23 13:30:00,0.016718,2.0,5.0,0.01705236,0.0158821,16.0,True,loss,-2.5000000000000013,-5.000000000000003,2025-10-23 13:31:00,2.0,False,73,0.0158821,906.1576296584141
completed,RIVERUSDT,long,2025-10-23 13:30:00,8.813,2.0,5.0,8.989260000000002,8.37235,16.0,True,win,1.0000000000000053,2.0000000000000107,2025-10-23 13:51:00,22.0,False,74,8.989260000000002,907.1576296584141
completed,XPINUSDT,long,2025-10-23 13:30:00,0.007865,2.0,5.0,0.008022300000000001,0.00747175,16.0,True,loss,-2.500000000000002,-5.000000000000004,2025-10-23 17:02:00,3.0,False,75,0.00747175,904.6576296584141
completed,IDOLUSDT,long,2025-10-23 13:30:00,0.03889,2.0,5.0,0.0396678,0.0369455,16.0,True,expired,-0.758549587130088,-1.517099174260176,2025-10-23 21:00:00,451.0,False,76,0.03830000013113022,903.899080071284
completed,PENGUUSDT,short,2025-10-23 13:30:00,0.020476,2.0,5.0,0.02006648,0.021499800000000003,16.0,True,win,1.0,2.0,2025-10-23 20:58:00,349.0,False,77,0.02006648,904.899080071284
completed,HANAUSDT,short,2025-10-23 17:30:00,0.05382,2.0,5.0,0.0527436,0.056511,16.0,True,win,0.9999999999999983,1.9999999999999967,2025-10-23 18:41:00,72.0,False,78,0.0527436,905.899080071284
completed,COAIUSDT,long,2025-10-23 17:30:00,16.805,2.0,5.0,17.1411,15.964749999999999,16.0,True,loss,-2.500000000000003,-5.000000000000006,2025-10-23 17:59:00,21.0,False,79,15.964749999999999,903.399080071284
completed,FFUSDT,short,2025-10-23 17:30:00,0.15107,2.0,5.0,0.1480486,0.15862350000000003,16.0,True,expired,-0.516317371593898,-1.032634743187796,2025-10-24 01:00:00,451.0,False,80,0.1526300013065338,902.88276269969
